2022-12-19 19:37:17.266 [http-nio-8181-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 62472
2022-12-19 19:37:17.308 [http-nio-8181-exec-5] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:40:21.262 [http-nio-8181-exec-7] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:40:21.265 [http-nio-8181-exec-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 183958
2022-12-19 19:40:21.315 [http-nio-8181-exec-7] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:40:58.226 [http-nio-8181-exec-9] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:40:58.266 [http-nio-8181-exec-9] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:41:47.539 [http-nio-8181-exec-10] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:41:47.544 [http-nio-8181-exec-10] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:42:26.810 [http-nio-8181-exec-2] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:42:26.816 [http-nio-8181-exec-2] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:44:29.856 [http-nio-8181-exec-3] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:44:29.859 [http-nio-8181-exec-3] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 123044
2022-12-19 19:44:29.904 [http-nio-8181-exec-3] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:45:01.795 [http-nio-8181-exec-4] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:45:01.810 [http-nio-8181-exec-4] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:45:07.313 [http-nio-8181-exec-5] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:45:07.319 [http-nio-8181-exec-5] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:45:11.105 [http-nio-8181-exec-6] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:45:11.110 [http-nio-8181-exec-6] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:45:49.360 [http-nio-8181-exec-7] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:45:49.378 [http-nio-8181-exec-7] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:46:16.179 [http-nio-8181-exec-8] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:46:16.197 [http-nio-8181-exec-8] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:46:23.472 [http-nio-8181-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'recordid' for method parameter type Integer is not present]
2022-12-19 19:46:31.390 [http-nio-8181-exec-10] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:46:31.411 [http-nio-8181-exec-10] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:46:50.174 [http-nio-8181-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'recordid' for method parameter type Integer is not present]
2022-12-19 19:47:49.105 [http-nio-8181-exec-3] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
